adduser	3.153ubuntu1	all	ii 
adwaita-icon-theme	50.0-1	all	ii 
alacritty	0.16.1-2ubuntu1	amd64	ii 
apparmor	5.0.0~beta1-0ubuntu7	amd64	ii 
apport	2.34.0-0ubuntu2	all	ii 
apport-core-dump-handler	2.34.0-0ubuntu2	all	ii 
apport-symptoms	0.25build1	all	ii 
appstream	1.1.2-1	amd64	ii 
apt	3.2.0	amd64	ii 
at-spi2-common	2.60.0-1	all	ii 
at-spi2-core	2.60.0-1	amd64	ii 
base-files	14ubuntu6.1	amd64	ii 
base-passwd	3.6.8	amd64	ii 
bash	5.3-2ubuntu1	amd64	ii 
bash-completion	1:2.16.0-8build1	all	ii 
bc	1.07.1-4build1	amd64	ii 
binutils	2.46-3ubuntu2	amd64	ii 
binutils-common:amd64	2.46-3ubuntu2	amd64	ii 
binutils-x86-64-linux-gnu	2.46-3ubuntu2	amd64	ii 
bsdextrautils	2.41.3-3ubuntu2	amd64	ii 
bsdutils	1:2.41.3-3ubuntu2	amd64	ii 
bubblewrap	0.11.1-1ubuntu0.1	amd64	ii 
build-essential	12.12ubuntu2	amd64	ii 
byobu	6.11-0ubuntu3	all	ii 
bzip2	1.0.8-6build2	amd64	ii 
ca-certificates	20260223	all	ii 
chrony	4.8-2ubuntu1	amd64	ii 
cloud-guest-utils	0.33-1build1	all	ii 
cloud-init	26.1-0ubuntu2	all	ii 
cloud-init-base	26.1-0ubuntu2	all	ii 
cmake	4.2.3-2ubuntu2	amd64	ii 
cmake-data	4.2.3-2ubuntu2	all	ii 
command-not-found	23.04.0build1	all	ii 
console-setup	1.237ubuntu3	all	ii 
console-setup-linux	1.237ubuntu3	all	ii 
coreutils	9.5-1ubuntu2+0.0.0~ubuntu25	all	ii 
coreutils-from-uutils	0.0.0~ubuntu25	all	ii 
cpp	4:15.2.0-5ubuntu1	amd64	ii 
cpp-15	15.2.0-16ubuntu1	amd64	ii 
cpp-15-x86-64-linux-gnu	15.2.0-16ubuntu1	amd64	ii 
cpp-x86-64-linux-gnu	4:15.2.0-5ubuntu1	amd64	ii 
cron	3.0pl1-200ubuntu1	amd64	ii 
cron-daemon-common	3.0pl1-200ubuntu1	all	ii 
curl	8.18.0-1ubuntu2.1	amd64	ii 
dash	0.5.12-12ubuntu3	amd64	ii 
dbus	1.16.2-2ubuntu4	amd64	ii 
dbus-bin	1.16.2-2ubuntu4	amd64	ii 
dbus-daemon	1.16.2-2ubuntu4	amd64	ii 
dbus-session-bus-common	1.16.2-2ubuntu4	all	ii 
dbus-system-bus-common	1.16.2-2ubuntu4	all	ii 
dbus-user-session	1.16.2-2ubuntu4	amd64	ii 
dbus-x11	1.16.2-2ubuntu4	amd64	ii 
dconf-gsettings-backend:amd64	0.49.0-4	amd64	ii 
dconf-service	0.49.0-4	amd64	ii 
debconf	1.5.92	all	ii 
