adduser	3.153ubuntu1	all	install ok installed
adwaita-icon-theme	50.0-1	all	install ok installed
alacritty	0.16.1-2ubuntu1	amd64	install ok installed
apparmor	5.0.0~beta1-0ubuntu7	amd64	install ok installed
apport	2.34.0-0ubuntu2	all	install ok installed
apport-core-dump-handler	2.34.0-0ubuntu2	all	install ok installed
apport-symptoms	0.25build1	all	install ok installed
appstream	1.1.2-1	amd64	install ok installed
apt	3.2.0	amd64	install ok installed
at-spi2-common	2.60.0-1	all	install ok installed
at-spi2-core	2.60.0-1	amd64	install ok installed
base-files	14ubuntu6.1	amd64	install ok installed
base-passwd	3.6.8	amd64	install ok installed
bash	5.3-2ubuntu1	amd64	install ok installed
bash-completion	1:2.16.0-8build1	all	install ok installed
bc	1.07.1-4build1	amd64	install ok installed
binutils	2.46-3ubuntu2	amd64	install ok installed
binutils-common	2.46-3ubuntu2	amd64	install ok installed
binutils-x86-64-linux-gnu	2.46-3ubuntu2	amd64	install ok installed
bsdextrautils	2.41.3-3ubuntu2	amd64	install ok installed
bsdutils	1:2.41.3-3ubuntu2	amd64	install ok installed
bubblewrap	0.11.1-1ubuntu0.1	amd64	install ok installed
build-essential	12.12ubuntu2	amd64	install ok installed
byobu	6.11-0ubuntu3	all	install ok installed
bzip2	1.0.8-6build2	amd64	install ok installed
ca-certificates	20260223	all	install ok installed
chrony	4.8-2ubuntu1	amd64	install ok installed
cloud-guest-utils	0.33-1build1	all	install ok installed
cloud-init	26.1-0ubuntu2	all	install ok installed
cloud-init-base	26.1-0ubuntu2	all	install ok installed
cmake	4.2.3-2ubuntu2	amd64	install ok installed
cmake-data	4.2.3-2ubuntu2	all	install ok installed
command-not-found	23.04.0build1	all	install ok installed
console-setup	1.237ubuntu3	all	install ok installed
console-setup-linux	1.237ubuntu3	all	install ok installed
coreutils	9.5-1ubuntu2+0.0.0~ubuntu25	all	install ok installed
coreutils-from-uutils	0.0.0~ubuntu25	all	install ok installed
cpp	4:15.2.0-5ubuntu1	amd64	install ok installed
cpp-15	15.2.0-16ubuntu1	amd64	install ok installed
