package	suite	version
adduser	resolute,now	3.153ubuntu1
adwaita-icon-theme	resolute,now	50.0-1
alacritty	resolute,now	0.16.1-2ubuntu1
apparmor	resolute,now	5.0.0~beta1-0ubuntu7
apport-core-dump-handler	resolute,now	2.34.0-0ubuntu2
apport-symptoms	resolute,now	0.25build1
apport	resolute,now	2.34.0-0ubuntu2
appstream	resolute,now	1.1.2-1
apt	resolute,now	3.2.0
at-spi2-common	resolute,now	2.60.0-1
at-spi2-core	resolute,now	2.60.0-1
base-files	resolute-updates,now	14ubuntu6.1
base-passwd	resolute,now	3.6.8
bash-completion	resolute,now	1:2.16.0-8build1
bash	resolute,now	5.3-2ubuntu1
bc	resolute,now	1.07.1-4build1
binutils-common	resolute,now	2.46-3ubuntu2
binutils-x86-64-linux-gnu	resolute,now	2.46-3ubuntu2
binutils	resolute,now	2.46-3ubuntu2
bsdextrautils	resolute,now	2.41.3-3ubuntu2
bsdutils	resolute,now	1:2.41.3-3ubuntu2
bubblewrap	resolute-updates,resolute-security,now	0.11.1-1ubuntu0.1
build-essential	resolute,now	12.12ubuntu2
byobu	resolute,now	6.11-0ubuntu3
bzip2	resolute,now	1.0.8-6build2
ca-certificates	resolute,now	20260223
chrony	resolute,now	4.8-2ubuntu1
cloud-guest-utils	resolute,now	0.33-1build1
cloud-init-base	resolute,now	26.1-0ubuntu2
cloud-init	resolute,now	26.1-0ubuntu2
cmake-data	resolute,now	4.2.3-2ubuntu2
cmake	resolute,now	4.2.3-2ubuntu2
command-not-found	resolute,now	23.04.0build1
console-setup-linux	resolute,now	1.237ubuntu3
console-setup	resolute,now	1.237ubuntu3
coreutils-from-uutils	resolute,now	0.0.0~ubuntu25
coreutils	resolute,now	9.5-1ubuntu2+0.0.0~ubuntu25
cpp-15-x86-64-linux-gnu	resolute,now	15.2.0-16ubuntu1
cpp-15	resolute,now	15.2.0-16ubuntu1
cpp-x86-64-linux-gnu	resolute,now	4:15.2.0-5ubuntu1
cpp	resolute,now	4:15.2.0-5ubuntu1
cron-daemon-common	resolute,now	3.0pl1-200ubuntu1
cron	resolute,now	3.0pl1-200ubuntu1
curl	resolute-updates,resolute-security,now	8.18.0-1ubuntu2.1
dash	resolute,now	0.5.12-12ubuntu3
dbus-bin	resolute,now	1.16.2-2ubuntu4
dbus-daemon	resolute,now	1.16.2-2ubuntu4
dbus-session-bus-common	resolute,now	1.16.2-2ubuntu4
dbus-system-bus-common	resolute,now	1.16.2-2ubuntu4
dbus-user-session	resolute,now	1.16.2-2ubuntu4
dbus-x11	resolute,now	1.16.2-2ubuntu4
dbus	resolute,now	1.16.2-2ubuntu4
dconf-gsettings-backend	resolute,now	0.49.0-4
dconf-service	resolute,now	0.49.0-4
debconf-i18n	resolute,now	1.5.92
debconf	resolute,now	1.5.92
debianutils	resolute,now	5.23.2build1
dhcpcd-base	resolute,now	1:10.3.0-7
diffutils	resolute,now	1:3.12-1
dirmngr	resolute,now	2.4.8-4ubuntu3
distro-info-data	resolute-updates,resolute-security,now	0.68ubuntu0.1
distro-info	resolute,now	1.15
dmsetup	resolute,now	2:1.02.205-2ubuntu3
dpkg-dev	resolute,now	1.23.7ubuntu1
dpkg	resolute,now	1.23.7ubuntu1
e2fsprogs	resolute,now	1.47.2-3ubuntu4
eatmydata	resolute,now	131-2build1
ed	resolute,now	1.22.4-1
eject	resolute,now	2.41.3-3ubuntu2
eslint	resolute,now	6.4.0~dfsg+~6.1.9-12
ethtool	resolute,now	1:6.19-1
fakeroot	resolute,now	1.37.2-1
