surface	role	binding_rule	state
AETHIEA	operating_system_governance_envelope	GOVERNS_NOT_HOSTED_BY_ONE_SURFACE	FORMLESS_STATELESS_HOSTLESS_HEADLESS
AETHIEAOPSYS	filesystem_corpus_body	SOURCE_BODY	HOSTLESS_CORPUS_SIGNATURE
AETHER	meaning_compression_continuity_medium	NATIVE_LAYER_NOT_OWNER	ACTIVE_INTERNAL_LAYER
UAER	pre_interpretation_routing	OPERATOR_GATED	ACTIVE_INTERNAL_LAYER
AAE	analogy_cross_domain_mapping	OPERATOR_GATED	ACTIVE_INTERNAL_LAYER
AENET	routing_membrane	ROUTES_NOT_BODY	ACTIVE_INTERNAL_LAYER
AE1OF1	AETHIE_1OF1_HUD_OPERATOR_INTERFACE	INTERFACES_NOT_EXECUTIVE	ACTIVE_INTERNAL_LAYER
AEUSB	portable_authority	AUTHORITY_MARKERS_NOT_DRIVE_LETTER	HOSTLESS_AUTHORITY
AEXHD	heavy_continuity_surface	NEVER_ROOT_AUTHORITY	HEAVY_STORAGE
BÆ_MESH	modular_validation_organ	HUMAN_EXECUTIVE_REQUIRED	MODS/B43-RU5
AERAG	memory_proof_retrieval_continuity_organ	RECORDS_NOT_OWNS	CANONICAL_MEMORY_ORGAN
