Listing...
alsa-ucm-conf/noble-updates 1.2.10-1ubuntu5.10 all [upgradable from: 1.2.10-1ubuntu5.8]
apparmor/noble-updates 4.0.1really4.0.1-0ubuntu0.24.04.6 amd64 [upgradable from: 4.0.1really4.0.1-0ubuntu0.24.04.5]
base-files/noble-updates 13ubuntu10.4 amd64 [upgradable from: 13ubuntu10.3]
binutils-common/noble-updates 2.42-4ubuntu2.10 amd64 [upgradable from: 2.42-4ubuntu2.8]
binutils-x86-64-linux-gnu/noble-updates 2.42-4ubuntu2.10 amd64 [upgradable from: 2.42-4ubuntu2.8]
binutils/noble-updates 2.42-4ubuntu2.10 amd64 [upgradable from: 2.42-4ubuntu2.8]
bsdextrautils/noble-updates,noble-security 2.39.3-9ubuntu6.5 amd64 [upgradable from: 2.39.3-9ubuntu6.4]
bsdutils/noble-updates,noble-security 1:2.39.3-9ubuntu6.5 amd64 [upgradable from: 1:2.39.3-9ubuntu6.4]
cloud-init/noble-updates 25.3-0ubuntu1~24.04.1 all [upgradable from: 25.2-0ubuntu1~24.04.1]
cloudflared/unknown 2026.3.0 amd64 [upgradable from: 2025.11.1]
containerd.io/noble 2.2.3-1~ubuntu.24.04~noble amd64 [upgradable from: 2.2.1-1~ubuntu.24.04~noble]
coreutils/noble-updates 9.4-3ubuntu6.2 amd64 [upgradable from: 9.4-3ubuntu6.1]
cpp-13-x86-64-linux-gnu/noble-updates,noble-security 13.3.0-6ubuntu2~24.04.1 amd64 [upgradable from: 13.3.0-6ubuntu2~24.04]
cpp-13/noble-updates,noble-security 13.3.0-6ubuntu2~24.04.1 amd64 [upgradable from: 13.3.0-6ubuntu2~24.04]
curl/noble-updates,noble-security 8.5.0-2ubuntu10.8 amd64 [upgradable from: 8.5.0-2ubuntu10.6]
docker-buildx-plugin/noble 0.33.0-1~ubuntu.24.04~noble amd64 [upgradable from: 0.30.1-1~ubuntu.24.04~noble]
docker-compose-plugin/noble 5.1.3-1~ubuntu.24.04~noble amd64 [upgradable from: 5.0.1-1~ubuntu.24.04~noble]
eject/noble-updates,noble-security 2.39.3-9ubuntu6.5 amd64 [upgradable from: 2.39.3-9ubuntu6.4]
fdisk/noble-updates,noble-security 2.39.3-9ubuntu6.5 amd64 [upgradable from: 2.39.3-9ubuntu6.4]
g++-13-x86-64-linux-gnu/noble-updates,noble-security 13.3.0-6ubuntu2~24.04.1 amd64 [upgradable from: 13.3.0-6ubuntu2~24.04]
g++-13/noble-updates,noble-security 13.3.0-6ubuntu2~24.04.1 amd64 [upgradable from: 13.3.0-6ubuntu2~24.04]
gcc-13-base/noble-updates,noble-security 13.3.0-6ubuntu2~24.04.1 amd64 [upgradable from: 13.3.0-6ubuntu2~24.04]
gcc-13-x86-64-linux-gnu/noble-updates,noble-security 13.3.0-6ubuntu2~24.04.1 amd64 [upgradable from: 13.3.0-6ubuntu2~24.04]
gcc-13/noble-updates,noble-security 13.3.0-6ubuntu2~24.04.1 amd64 [upgradable from: 13.3.0-6ubuntu2~24.04]
gcc-14-base/noble-updates,noble-security 14.2.0-4ubuntu2~24.04.1 amd64 [upgradable from: 14.2.0-4ubuntu2~24.04]
i965-va-driver/noble-updates 2.4.1+dfsg1-1ubuntu0.1 amd64 [upgradable from: 2.4.1+dfsg1-1build2]
intel-media-va-driver/noble-updates 24.1.0+dfsg1-1ubuntu0.2 amd64 [upgradable from: 24.1.0+dfsg1-1ubuntu0.1]
libapparmor1/noble-updates 4.0.1really4.0.1-0ubuntu0.24.04.6 amd64 [upgradable from: 4.0.1really4.0.1-0ubuntu0.24.04.5]
libarchive13t64/noble-updates,noble-security 3.7.2-2ubuntu0.6 amd64 [upgradable from: 3.7.2-2ubuntu0.5]
libasan8/noble-updates,noble-security 14.2.0-4ubuntu2~24.04.1 amd64 [upgradable from: 14.2.0-4ubuntu2~24.04]
libasound2-data/noble-updates,noble-security 1.2.11-1ubuntu0.2 all [upgradable from: 1.2.11-1ubuntu0.1]
libasound2t64/noble-updates,noble-security 1.2.11-1ubuntu0.2 amd64 [upgradable from: 1.2.11-1ubuntu0.1]
libatomic1/noble-updates,noble-security 14.2.0-4ubuntu2~24.04.1 amd64 [upgradable from: 14.2.0-4ubuntu2~24.04]
libbinutils/noble-updates 2.42-4ubuntu2.10 amd64 [upgradable from: 2.42-4ubuntu2.8]
libblkid1/noble-updates,noble-security 2.39.3-9ubuntu6.5 amd64 [upgradable from: 2.39.3-9ubuntu6.4]
libcc1-0/noble-updates,noble-security 14.2.0-4ubuntu2~24.04.1 amd64 [upgradable from: 14.2.0-4ubuntu2~24.04]
libctf-nobfd0/noble-updates 2.42-4ubuntu2.10 amd64 [upgradable from: 2.42-4ubuntu2.8]
libctf0/noble-updates 2.42-4ubuntu2.10 amd64 [upgradable from: 2.42-4ubuntu2.8]
libcurl3t64-gnutls/noble-updates,noble-security 8.5.0-2ubuntu10.8 amd64 [upgradable from: 8.5.0-2ubuntu10.6]
libcurl4t64/noble-updates,noble-security 8.5.0-2ubuntu10.8 amd64 [upgradable from: 8.5.0-2ubuntu10.6]
libdjvulibre-text/noble-updates,noble-security 3.5.28-2ubuntu0.24.04.2 all [upgradable from: 3.5.28-2ubuntu0.24.04.1]
libdjvulibre21/noble-updates,noble-security 3.5.28-2ubuntu0.24.04.2 amd64 [upgradable from: 3.5.28-2ubuntu0.24.04.1]
libdrm-amdgpu1/noble-updates 2.4.125-1ubuntu0.1~24.04.1 amd64 [upgradable from: 2.4.122-1~ubuntu0.24.04.2]
libdrm-common/noble-updates 2.4.125-1ubuntu0.1~24.04.1 all [upgradable from: 2.4.122-1~ubuntu0.24.04.2]
libdrm-intel1/noble-updates 2.4.125-1ubuntu0.1~24.04.1 amd64 [upgradable from: 2.4.122-1~ubuntu0.24.04.2]
libdrm2/noble-updates 2.4.125-1ubuntu0.1~24.04.1 amd64 [upgradable from: 2.4.122-1~ubuntu0.24.04.2]
libegl-mesa0/noble-updates 25.2.8-0ubuntu0.24.04.1 amd64 [upgradable from: 25.0.7-0ubuntu0.24.04.2]
libexpat1-dev/noble-updates,noble-security 2.6.1-2ubuntu0.4 amd64 [upgradable from: 2.6.1-2ubuntu0.3]
libexpat1/noble-updates,noble-security 2.6.1-2ubuntu0.4 amd64 [upgradable from: 2.6.1-2ubuntu0.3]
